number,name,description,is_evovled,male_ratio,female_ratio,Picture
119,seaking,Goldfish,TRUE,50,50,119_seaking.png
120,staryu,Starshape,FALSE,0,0,120_staryu.png
121,starmie,Mysterious,TRUE,0,0,121_starmie.png
122,mrmime,Barrier,TRUE,50,50,122_mrmime.png
123,scyther,Mantis,FALSE,50,50,123_scyther.png
124,jynx,Humanshape,TRUE,0,100,124_jynx.png
125,electabuzz,Electric,TRUE,75,25,125_electabuzz.png
126,magmar,Spitfire,TRUE,75,25,126_magmar.png
127,pinsir,Stagbeetle,FALSE,50,50,127_pinsir.png
128,tauros,Wild Bull,FALSE,100,0,128_tauros.png
129,magikarp,Fish,FALSE,50,50,129_magikarp.png
130,gyarados,Atrocious,TRUE,50,50,130_gyarados.png
131,lapras,Transport,FALSE,50,50,131_lapras.png
132,ditto,Transform,FALSE,0,0,132_ditto.png
133,eevee,Evolution,FALSE,87.5,12.5,133_eevee.png
134,vaporeon,Bubble Jet,TRUE,87.5,12.5,134_vaporeon.png
135,jolteon,Lightning,TRUE,87.5,12.5,135_jolteon.png
136,flareon,Flame,TRUE,87.5,12.5,136_flareon.png
137,porygon,Virtual,FALSE,0,0,137_porygon.png
138,omanyte,Spiral,FALSE,87.5,12.5,138_omanyte.png
139,omastar,Spiral,TRUE,87.5,12.5,139_omastar.png
140,kabuto,Shellfish,FALSE,87.5,12.5,140_kabuto.png
141,kabutops,Shellfish,TRUE,87.5,12.5,141_kabutops.png
142,aerodactyl,Fossil,FALSE,87.5,12.5,142_aerodactyl.png
143,snorlax,Sleeping,TRUE,87.5,12.5,143_snorlax.png
144,articuno,Freeze,FALSE,0,0,144_articuno.png
145,zapdos,Electric,FALSE,0,0,145_zapdos.png
146,moltres,Flame,FALSE,0,0,146_moltres.png
147,dratini,Dragon,FALSE,50,50,147_dratini.png
148,dragonair,Dragon,TRUE,50,50,148_dragonair.png
149,dragonite,Dragon,TRUE,50,50,149_dragonite.png
150,mewtwo,Genetic,FALSE,0,0,150_mewtwo.png
151,mew ,New Species,FALSE,0,0,151_mew.png
