number,name,description,is_evolved,male_ratio,female_ratio,Picture
133,eevee,Evolution,False,87.5,12.5,133_eevee.png
134,vaporeon,Bubble Jet,True,87.5,12.5,134_vaporeon.png
135,jolteon,Lightning,True,87.5,12.5,135_jolteon.png
136,flareon,Flame,True,87.5,12.5,136_flareon.png
137,porygon,Virtual,False,0,0,137_porygon.png
138,omanyte,Spiral,False,87.5,12.5,138_omanyte.png
139,omastar,Spiral,True,87.5,12.5,139_omastar.png
140,kabuto,Shellfish,False,87.5,12.5,140_kabuto.png
141,kabutops,Shellfish,True,87.5,12.5,141_kabutops.png
142,aerodactyl,Fossil,False,87.5,12.5,142_aerodactyl.png
143,snorlax,Sleeping,True,87.5,12.5,143_snorlax.png
144,articuno,Freeze,False,0,0,144_articuno.png
145,zapdos,Electric,False,0,0,145_zapdos.png
146,moltres,Flame,False,0,0,146_moltres.png
147,dratini,Dragon,False,50,50,147_dratini.png
148,dragonair,Dragon,True,50,50,148_dragonair.png
149,dragonite,Dragon,True,50,50,149_dragonite.png
150,mewtwo,Genetic,False,0,0,150_mewtwo.png
151,mew ,New Species,False,0,0,151_mew.png
,,,False,,,
,,,True,,,
,,,True,,,
,,,False,,,
,,,True,,,
,,,True,,,
,,,False,,,
,,,True,,,
,,,True,,,
,,,False,,,
,,,True,,,
,,,False,,,
,,,True,,,
,,,False,,,
,,,True,,,
,,,False,,,
,,,True,,,
,,,True,,,
,,,False,,,
,,,True,,,
,,,False,,,
,,,False,,,
,,,False,,,
,,,False,,,
,,,True,,,
,,,False,,,
,,,True,,,
,,,False,,,
,,,True,,,
,,,True,,,
,,,True,,,
,,,True,,,
,,,True,,,
,,,True,,,
,,,True,,,
,,,False,,,
,,,True,,,
,,,True,,,
,,,False,,,
,,,False,,,
,,,True,,,
,,,False,,,
,,,False,,,
,,,True,,,
,,,True,,,
,,,True,,,
,,,False,,,
,,,True,,,
,,,False,,,
,,,False,,,
,,,True,,,
,,,False,,,
,,,False,,,
,,,True,,,
,,,False,,,
,,,False,,,
,,,True,,,
,,,False,,,
,,,True,,,
,,,False,,,
,,,True,,,
,,,False,,,
,,,False,,,
,,,False,,,
,,,False,,,
,,,True,,,
,,,False,,,
,,,True,,,
,,,False,,,
,,,True,,,
,,,False,,,
,,,False,,,
,,,True,,,
,,,False,,,
,,,True,,,
,,,False,,,
,,,False,,,
,,,True,,,
,,,True,,,
,,,False,,,
,,,True,,,
,,,True,,,
,,,False,,,
,,,False,,,
,,,False,,,
,,,True,,,
,,,False,,,
,,,False,,,
,,,False,,,
,,,False,,,
,,,True,,,
,,,False,,,
,,,False,,,
,,,False,,,
,,,False,,,
,,,True,,,
,,,True,,,
,,,False,,,
,,,False,,,
,,,False,,,
